Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:30 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."
Items assigned to multiple categories are reported in just one category (the one created first).

Gross Sales,"$289,728.26"
Net Sales,"$287,800.86"
COGS,$0.00
Gross Profit,"$186,882.30"
Gross Profit Margin,64.93%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,doordash,$418.40,$418.40,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$418.40,-,-
,doordash sales,$418.40,$418.40,1,0," "," ",-,$0.00,$0.00,$0.00,0.15%,$418.40,-,-
,doordash sales,$415.80,$415.80,1,0," "," ",-,$0.00,$0.00,$0.00,0.14%,$415.80,-,-
,doordash sales,$407.20,$407.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.14%,$407.20,-,-
,doordash,$405.20,$405.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.14%,$405.20,-,-
,doordash,$404.25,$404.25,1,0," "," ",-,$0.00,$0.00,$0.00,0.14%,$404.25,-,-
,dooordash,$401.35,$401.35,1,0," "," ",-,$0.00,$0.00,$0.00,0.14%,$401.35,-,-
,doordash,$397.45,$397.45,1,0," "," ",-,$0.00,$0.00,$0.00,0.14%,$397.45,-,-
,doordash,$381.30,$381.30,1,0," "," ",-,$0.00,$0.00,$0.00,0.13%,$381.30,-,-
,doordash sales,$378.75,$378.75,1,0," "," ",-,$0.00,$0.00,$0.00,0.13%,$378.75,-,-
,doordash sales,$376.95,$376.95,1,0," "," ",-,$0.00,$0.00,$0.00,0.13%,$376.95,-,-
,doordash,$376.20,$376.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.13%,$376.20,-,-
,doordash sales,$375.20,$375.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.13%,$375.20,-,-
,doordash,$365.35,$365.35,1,0," "," ",-,$0.00,$0.00,$0.00,0.13%,$365.35,-,-
,doordash sales,$363.45,$363.45,1,0," "," ",-,$0.00,$0.00,$0.00,0.13%,$363.45,-,-
,doordash,$361.80,$361.80,1,0," "," ",-,$0.00,$0.00,$0.00,0.13%,$361.80,-,-
,doordash sales,$358.05,$358.05,1,0," "," ",-,$0.00,$0.00,$0.00,0.12%,$358.05,-,-
,doordash,$355.80,$355.80,1,0," "," ",-,$0.00,$0.00,$0.00,0.12%,$355.80,-,-
,doordash,$352.15,$352.15,1,0," "," ",-,$0.00,$0.00,$0.00,0.12%,$352.15,-,-
,doordash,$352.10,$352.10,1,0," "," ",-,$0.00,$0.00,$0.00,0.12%,$352.10,-,-
,doordash sales,$349.90,$349.90,1,0," "," ",-,$0.00,$0.00,$0.00,0.12%,$349.90,-,-
,doordash,$341.10,$341.10,1,0," "," ",-,$0.00,$0.00,$0.00,0.12%,$341.10,-,-
,doordash sales,$329.40,$329.40,1,0," "," ",-,$0.00,$0.00,$0.00,0.11%,$329.40,-,-
,doordash sales,$317.85,$317.85,1,0," "," ",-,$0.00,$0.00,$0.00,0.11%,$317.85,-,-
,doordash sales,$316.60,$316.60,1,0," "," ",-,$0.00,$0.00,$0.00,0.11%,$316.60,-,-
,doordash,$310.00,$310.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.11%,$310.00,-,-
,doordash,$307.65,$307.65,1,0," "," ",-,$0.00,$0.00,$0.00,0.11%,$307.65,-,-
,doordash,$306.10,$306.10,1,0," "," ",-,$0.00,$0.00,$0.00,0.11%,$306.10,-,-
,doordash sales,$301.90,$301.90,1,0," "," ",-,$0.00,$0.00,$0.00,0.10%,$301.90,-,-
,doordash sales,$299.45,$299.45,1,0," "," ",-,$0.00,$0.00,$0.00,0.10%,$299.45,-,-
,doordash sales,$292.55,$292.55,1,0," "," ",-,$0.00,$0.00,$0.00,0.10%,$292.55,-,-
,doordash,$292.10,$292.10,1,0," "," ",-,$0.00,$0.00,$0.00,0.10%,$292.10,-,-
,doordash,$279.75,$279.75,1,0," "," ",-,$0.00,$0.00,$0.00,0.10%,$279.75,-,-
,doordash,$277.60,$277.60,1,0," "," ",-,$0.00,$0.00,$0.00,0.10%,$277.60,-,-
,doordash 7/6,$273.90,$273.90,1,0," "," ",-,$0.00,$0.00,$0.00,0.10%,$273.90,-,-
,doordash,$272.05,$272.05,1,0," "," ",-,$0.00,$0.00,$0.00,0.09%,$272.05,-,-
,doordash,$269.25,$269.25,1,0," "," ",-,$0.00,$0.00,$0.00,0.09%,$269.25,-,-
,doordash sales,$266.05,$266.05,1,0," "," ",-,$0.00,$0.00,$0.00,0.09%,$266.05,-,-
,doordash,$259.85,$259.85,1,0," "," ",-,$0.00,$0.00,$0.00,0.09%,$259.85,-,-
,doordash sales,$255.30,$255.30,1,0," "," ",-,$0.00,$0.00,$0.00,0.09%,$255.30,-,-
,doordash,$248.20,$248.20,1,0," "," ",-,$0.00,$0.00,$0.00,0.09%,$248.20,-,-
,Make It A Combo,$121.00,$121.00,22,0," "," ",-,$0.00,$0.00,$0.00,0.04%,$5.50,$0.00,$121.00
,uber sales,$111.30,$111.30,1,0," "," ",-,$0.00,$0.00,$0.00,0.04%,$111.30,-,-
,Delivery,$50.00,$50.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.02%,$50.00,-,-
,doordash sales,$49.00,$49.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.02%,$49.00,-,-
,DELIVERY,$40.00,$40.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.01%,$40.00,-,-
,Haupia pie,$40.00,$40.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.01%,$40.00,-,-
,Musubi,$30.00,$30.00,12,0," "," ",-,$0.00,$0.00,$0.00,0.01%,$2.50,-,-
,Small Rice,$30.00,$30.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.01%,$30.00,-,-
,musubi,$25.00,$25.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.01%,$25.00,-,-
,Custom Item,$16.00,$16.00,2,0," "," ",-,$0.00,$0.00,$0.00,0.01%,$8.00,-,-
,1/2 lbs,$12.00,$12.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$12.00,-,-
,Custom Item,$11.00,$11.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$11.00,-,-
,acai,$11.00,$11.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$11.00,-,-
,Fire Island Tuna Taco,$4.50,$4.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$4.50,$0.00,$4.50
,Sharkbait Salmon Taco,$4.50,$4.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$4.50,$0.00,$4.50
,COKE ZERO,$2.00,$2.00,1,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$2.00,$0.00,$2.00
,Avocado,$1.50,$1.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$1.50,$0.00,$1.50
,Extra Sauce,$1.50,$1.50,3,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$0.50,$0.00,$1.50
,Green Tea/ Pure Leaf Upgrade,$1.50,$1.50,1,0," "," ",-,$0.00,$0.00,$0.00,0.00%,$1.50,$0.00,$1.50
