Items Report
"Feb 7, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:32 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$68,179.91"
Net Sales,"$66,290.19"
COGS,$0.00
Gross Profit,"$14,342.73"
Gross Profit Margin,21.64%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,Pasta with Marinara,$8.74,$8.74,1,0," "," ",-,$0.00,$0.00,0.01%,$8.74,-,-
,," "," "," "," ",Spaghetti,1,$0.00," "," "," "," "," "," "
,Lunch Sub,$10.99,$8.61,1,0," "," ",-,-$2.38,$0.00,0.01%,$8.61,-,-
,," "," "," "," ",Chicken Parmigiana Sub,1,$0.00," "," "," "," "," "," "
,Caesar Salad (custom 1) - Large,$8.50,$8.50,1,0," "," ",-,$0.00,$0.00,0.01%,$8.50,-,-
,Custom Garden Salad  - Small,$8.50,$8.50,1,0," "," ",-,$0.00,$0.00,0.01%,$8.50,-,-
,Garden Salad  (custom 2) - Large,$8.50,$8.50,1,0," "," ",-,$0.00,$0.00,0.01%,$8.50,-,-
,Cookies,$8.37,$8.37,9,0," "," ",-,$0.00,$0.00,0.01%,$0.93,-,-
,Sweet Tea,$9.96,$8.08,4,0," "," ",-,-$1.88,$0.00,0.01%,$2.02,-,-
,Garlic Knots,$8.02,$8.02,1,0," "," ",-,$0.00,$0.00,0.01%,$8.02,-,-
,," "," "," "," ",With Cheese,1,$1.03," "," "," "," "," "," "
,2 Slices & Can Soda (custom 2) - Single Size,$7.99,$7.99,1,0," "," ",-,$0.00,$0.00,0.01%,$7.99,-,-
,Small Caesar Salad,$7.99,$7.99,1,0," "," ",-,$0.00,$0.00,0.01%,$7.99,-,-
,," "," "," "," ",Caesar,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Small,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Shredded Carrots,1,$0.00," "," "," "," "," "," "
,Small Caesar Salad,$7.99,$7.99,1,0," "," ",-,$0.00,$0.00,0.01%,$7.99,-,-
,Small Garden Salad,$7.99,$7.99,1,0," "," ",-,$0.00,$0.00,0.01%,$7.99,-,-
,," "," "," "," ",Italian,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Small,1,$0.00," "," "," "," "," "," "
,BYO Slice,$7.98,$7.98,2,0," "," ",-,$0.00,$0.00,0.01%,$3.99,-,-
,BYO Slice - Single Size,$7.98,$7.98,2,0," "," ",-,$0.00,$0.00,0.01%,$3.99,-,-
,Side of Marinara Sauce,$8.94,$7.83,6,0," "," ",-,-$1.11,$0.00,0.01%,$1.30,-,-
,Child Spaget w/ Marinara,$7.71,$7.71,1,0," "," ",-,$0.00,$0.00,0.01%,$7.71,-,-
,Side of Broccoli,$7.96,$7.60,2,0," "," ",-,-$0.36,$0.00,0.01%,$3.80,-,-
,2pcs Garlic Knots (custom 1) - Plain,$7.50,$7.50,3,0," "," ",-,$0.00,$0.00,0.01%,$2.50,-,-
,Custom Item,$7.50,$7.50,3,0," "," ",-,$0.00,$0.00,0.01%,$2.50,-,-
,Sweet Tea,$7.47,$7.47,3,0," "," ",-,$0.00,$0.00,0.01%,$2.49,-,-
,Child Spaget w/ Marinara,$7.71,$7.01,1,0," "," ",-,-$0.70,$0.00,0.01%,$7.01,-,-
,Custom Cheese Slice - Single Size,$7.00,$7.00,2,0," "," ",-,$0.00,$0.00,0.01%,$3.50,-,-
,Custom Item,$7.00,$7.00,7,0," "," ",-,$0.00,$0.00,0.01%,$1.00,-,-
,2 Slice and 1 Can of Soda (custom 2) - Single Size,$6.99,$6.99,1,0," "," ",-,$0.00,$0.00,0.01%,$6.99,-,-
,Custom Jumbo Onion Rings - Single Size,$6.99,$6.99,1,0," "," ",-,$0.00,$0.00,0.01%,$6.99,-,-
,Custom Pasta with small soda - Single Size,$9.99,$6.99,1,0," "," ",-,-$3.00,$0.00,0.01%,$6.99,-,-
,Jumbo Onion Rings (custom 1) - Single Size,$6.99,$6.99,1,0," "," ",-,$0.00,$0.00,0.01%,$6.99,-,-
,Garlic Bread (custom 1) - With Cheese,$6.98,$6.98,1,0," "," ",-,$0.00,$0.00,0.01%,$6.98,-,-
,Zepollis,$6.76,$6.76,2,0," "," ",-,$0.00,$0.00,0.01%,$3.38,-,-
,Alfredo Sauce (custom 1) - Single Size,$6.50,$6.50,1,0," "," ",-,$0.00,$0.00,0.01%,$6.50,-,-
,Sliders (custom 1) - Plain,$6.50,$6.50,1,0," "," ",-,$0.00,$0.00,0.01%,$6.50,-,-
,Can Soda,$6.36,$6.36,4,0," "," ",-,$0.00,$0.00,0.01%,$1.59,-,-
,," "," "," "," ",Pepsi,4,$0.00," "," "," "," "," "," "
,Custom Item,$6.00,$6.00,1,0," "," ",-,$0.00,$0.00,0.01%,$6.00,-,-
,Shrimp,$6.00,$6.00,1,0," "," ",-,$0.00,$0.00,0.01%,$6.00,-,-
,Cannoli,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Carrot Cake,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Custom French Fries - Single Size,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Custom Item,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Homemade Soup of the Day,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Homemade Soup of the Day,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Jumbo Onion Rings (custom 1) - Single Size,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Sausage (2 Pieces),$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Sausage (2 Pieces),$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,Slice Sicilian Deep Dish,$5.99,$5.99,1,0," "," ",-,$0.00,$0.00,0.01%,$5.99,-,-
,"Cheesesteak Pizza (14"")",$5.98,$5.98,2,0," "," ",-,$0.00,$0.00,0.01%,$2.99,-,-
,Custom Garlic Knots - Plain,$5.98,$5.98,1,0," "," ",-,$0.00,$0.00,0.01%,$5.98,-,-
,Meatballs  (custom 1) - Single Size,$5.98,$5.98,1,0," "," ",-,$0.00,$0.00,0.01%,$5.98,-,-
,Topping,$5.98,$5.98,1,0," "," ",-,$0.00,$0.00,0.01%,$5.98,-,-
,Child Butter Pasta,$7.71,$5.93,1,0," "," ",-,-$1.78,$0.00,0.01%,$5.93,-,-
,," "," "," "," ",Ziti,1,$0.00," "," "," "," "," "," "
,Custom Slice Sicilian Deep Dish - Single Size,$5.74,$5.74,1,0," "," ",-,$0.00,$0.00,0.01%,$5.74,-,-
,Delivery Fee,$5.66,$5.66,1,0," "," ",-,$0.00,$0.00,0.01%,$5.66,-,-
,Delivery Fee,$5.42,$5.42,1,0," "," ",-,$0.00,$0.00,0.01%,$5.42,-,-
,Jumbo Onion Rings,$6.99,$5.38,1,0," "," ",-,-$1.61,$0.00,0.01%,$5.38,-,-
,Tiramissu,$5.34,$5.34,1,0," "," ",-,$0.00,$0.00,0.01%,$5.34,-,-
,Delivery Fee,$5.31,$5.31,1,0," "," ",-,$0.00,$0.00,0.01%,$5.31,-,-
,Side of Marinara Sauce (custom 1) - Single Size,$5.25,$5.25,3,0," "," ",-,$0.00,$0.00,0.01%,$1.75,-,-
,Alfredo Sauce,$5.14,$5.14,1,0," "," ",-,$0.00,$0.00,0.01%,$5.14,-,-
,Alfredo Sauce,$5.14,$5.14,1,0," "," ",-,$0.00,$0.00,0.01%,$5.14,-,-
,Fresh Sauteed Spinach,$5.10,$5.10,1,0," "," ",-,$0.00,$0.00,0.01%,$5.10,-,-
,," "," "," "," ",Parmesan Cheese,1,$0.99," "," "," "," "," "," "
,2 Liter,$5.08,$5.08,1,0," "," ",-,$0.00,$0.00,0.01%,$5.08,-,-
,," "," "," "," ",Pepsi,1,$0.09," "," "," "," "," "," "
,Delivery Fee,$5.07,$5.07,1,0," "," ",-,$0.00,$0.00,0.01%,$5.07,-,-
,Meat Sauce,$5.00,$5.00,2,0," "," ",-,$0.00,$0.00,0.01%,$2.50,-,-
,Ranch,$5.00,$5.00,5,0," "," ",-,$0.00,$0.00,0.01%,$1.00,-,-
,Fresh Sauteed Spinach - Single Size,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,Italian Sausage (custom 1) - Single Size,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,Slice Sicilian Deep Dish (custom 1) - Single Size,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,Specialty Slice,$4.99,$4.99,1,0," "," ",-,$0.00,$0.00,0.01%,$4.99,-,-
,," "," "," "," ",Buffalo Chicken Pizza,1,$0.00," "," "," "," "," "," "
,Arizona,$4.98,$4.98,2,0," "," ",-,$0.00,$0.00,0.01%,$2.49,-,-
,Belgium Chocolate Mouse Cake,$4.88,$4.88,1,0," "," ",-,$0.00,$0.00,0.01%,$4.88,-,-
,Custom BYO Slice - Single Size,$4.74,$4.74,1,0," "," ",-,$0.00,$0.00,0.01%,$4.74,-,-
,Mini Cannoli,$4.98,$4.62,2,0," "," ",-,-$0.36,$0.00,0.01%,$2.31,-,-
,Custom Item,$5.25,$4.37,3,0," "," ",-,-$0.88,$0.00,0.01%,$1.46,-,-
,Carrot Cake,$4.29,$4.29,1,0," "," ",-,$0.00,$0.00,0.01%,$4.29,-,-
,Carrot Cake,$4.29,$4.29,1,0," "," ",-,$0.00,$0.00,0.01%,$4.29,-,-
,Carrot Cake,$4.29,$4.29,1,0," "," ",-,$0.00,$0.00,0.01%,$4.29,-,-
,Carrot Cake,$4.29,$4.29,1,0," "," ",-,$0.00,$0.00,0.01%,$4.29,-,-
,New York Cheese Cake,$4.29,$4.29,1,0," "," ",-,$0.00,$0.00,0.01%,$4.29,-,-
,Chicken,$5.00,$4.25,2,0," "," ",-,-$0.75,$0.00,0.01%,$2.12,-,-
,Fresh Sauteed Spinach,$4.11,$4.11,1,0," "," ",-,$0.00,$0.00,0.01%,$4.11,-,-
,Mushrooms,$4.00,$4.00,2,0," "," ",-,$0.00,$0.00,0.01%,$2.00,-,-
,Ranch,$4.00,$4.00,2,0," "," ",-,$0.00,$0.00,0.01%,$2.00,-,-
,2 Liters (custom 2) - Single Size,$3.99,$3.99,1,0," "," ",-,$0.00,$0.00,0.01%,$3.99,-,-
,Child Spaget w/ Marinara - Single Size,$7.99,$3.99,1,0," "," ",-,-$4.00,$0.00,0.01%,$3.99,-,-
,Italian Sausage (2),$3.99,$3.99,1,0," "," ",-,$0.00,$0.00,0.01%,$3.99,-,-
,Italian Sausage (2),$3.99,$3.99,1,0," "," ",-,$0.00,$0.00,0.01%,$3.99,-,-
,Italian Sausage (2),$3.99,$3.99,1,0," "," ",-,$0.00,$0.00,0.01%,$3.99,-,-
,Gatorade,$5.12,$3.98,2,0," "," ",-,-$1.14,$0.00,0.01%,$1.99,-,-
,," "," "," "," ",Red,2,$0.00," "," "," "," "," "," "
,Side of Broccoli,$3.98,$3.98,1,0," "," ",-,$0.00,$0.00,0.01%,$3.98,-,-
,Side of Marinara Sauce,$3.98,$3.98,2,0," "," ",-,$0.00,$0.00,0.01%,$1.99,-,-
,Topping S,$3.98,$3.98,1,0," "," ",-,$0.00,$0.00,0.01%,$3.98,-,-
,Cannoli,$3.89,$3.89,1,0," "," ",-,$0.00,$0.00,0.01%,$3.89,-,-
,Garlic Knots 2 Single pcs,$3.49,$3.49,1,0," "," ",-,$0.00,$0.00,0.01%,$3.49,-,-
,," "," "," "," ",Plain,1,$0.00," "," "," "," "," "," "
,Garlic Knots 2 Single pcs,$3.49,$3.49,1,0," "," ",-,$0.00,$0.00,0.01%,$3.49,-,-
,Zepollis,$3.38,$3.38,1,0," "," ",-,$0.00,$0.00,0.01%,$3.38,-,-
,Can Soda,$3.18,$3.18,2,0," "," ",-,$0.00,$0.00,0.00%,$1.59,-,-
,," "," "," "," ",Brisk,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pepsi,1,$0.00," "," "," "," "," "," "
,Bl Cheese,$3.00,$3.00,3,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Blue Cheese,$3.00,$3.00,3,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Gluten Free,$3.00,$3.00,1,0," "," ",-,$0.00,$0.00,0.00%,$3.00,-,-
,Italian Sausage (2),$3.99,$2.96,1,0," "," ",-,-$1.03,$0.00,0.00%,$2.96,-,-
,Cookies,$2.79,$2.79,3,0," "," ",-,$0.00,$0.00,0.00%,$0.93,-,-
,Arizona - Single Size,$2.75,$2.75,1,0," "," ",-,$0.00,$0.00,0.00%,$2.75,-,-
,Fruit Punch,$2.69,$2.69,1,0," "," ",-,$0.00,$0.00,0.00%,$2.69,-,-
,Other Drinks,$2.69,$2.69,1,0," "," ",-,$0.00,$0.00,0.00%,$2.69,-,-
,Bottled Juice,$2.56,$2.56,1,0," "," ",-,$0.00,$0.00,0.00%,$2.56,-,-
,," "," "," "," ",Apple,1,$0.00," "," "," "," "," "," "
,Gatorade,$2.56,$2.56,1,0," "," ",-,$0.00,$0.00,0.00%,$2.56,-,-
,," "," "," "," ",Green,1,$0.00," "," "," "," "," "," "
,Gluten,$2.50,$2.50,1,0," "," ",-,$0.00,$0.00,0.00%,$2.50,-,-
,Mini Cannoli,$2.49,$2.49,1,0," "," ",-,$0.00,$0.00,0.00%,$2.49,-,-
,Sweet Tea,$2.49,$2.49,1,0," "," ",-,$0.00,$0.00,0.00%,$2.49,-,-
,Fruit Punch,$2.69,$2.13,1,0," "," ",-,-$0.56,$0.00,0.00%,$2.13,-,-
,Cookies,$2.79,$2.04,3,0," "," ",-,-$0.75,$0.00,0.00%,$0.68,-,-
,Custom Item,$2.01,$2.01,1,0," "," ",-,$0.00,$0.00,0.00%,$2.01,-,-
,Bbq,$2.00,$2.00,2,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Bbq Buffalo,$2.00,$2.00,1,0," "," ",-,$0.00,$0.00,0.00%,$2.00,-,-
,Malta,$2.00,$2.00,1,0," "," ",-,$0.00,$0.00,0.00%,$2.00,-,-
,Tropicana,$2.00,$2.00,2,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Custom Item,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.00%,$1.99,-,-
,Pepperoni,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.00%,$1.99,-,-
,Side of Marinara Sauce,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.00%,$1.99,-,-
,Side of Marinara Sauce,$1.99,$1.99,1,0," "," ",-,$0.00,$0.00,0.00%,$1.99,-,-
,Arizona,$2.49,$1.97,1,0," "," ",-,-$0.52,$0.00,0.00%,$1.97,-,-
,Can Soda (custom 2) - Single Size,$1.75,$1.75,1,0," "," ",-,$0.00,$0.00,0.00%,$1.75,-,-
,Gatorade,$1.75,$1.75,1,0," "," ",-,$0.00,$0.00,0.00%,$1.75,-,-
,"16"" Large 2 Toppings",$1.99,$1.67,1,0," "," ",-,-$0.32,$0.00,0.00%,$1.67,-,-
,," "," "," "," ",Regular,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pizza Sauce,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Onions,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Mozzarella Cheese,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pepperoni,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sliced Meatballs,1,$0.00," "," "," "," "," "," "
,14 Medium + 1 Topping,$1.99,$1.55,1,0," "," ",-,-$0.44,$0.00,0.00%,$1.55,-,-
,," "," "," "," ",Garlic Butter on Crust,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pepperoni,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Pizza Sauce,1,$0.00," "," "," "," "," "," "
,Bottled Water,$1.53,$1.53,1,0," "," ",-,$0.00,$0.00,0.00%,$1.53,-,-
,Custom Item,$1.50,$1.50,3,0," "," ",-,$0.00,$0.00,0.00%,$0.50,-,-
,Custom Item,$1.49,$1.49,1,0," "," ",-,$0.00,$0.00,0.00%,$1.49,-,-
,Black Olive,$1.00,$1.00,2,0," "," ",-,$0.00,$0.00,0.00%,$0.50,-,-
,Extraaaaaaaa Mushrooms,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Malta,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Pepperoni,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,"Ranch ",$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Teriyaki,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,X Ricotta,$1.00,$1.00,1,0," "," ",-,$0.00,$0.00,0.00%,$1.00,-,-
,Cookies,$0.93,$0.93,1,0," "," ",-,$0.00,$0.00,0.00%,$0.93,-,-
,Employee Soda,$0.93,$0.93,1,0," "," ",-,$0.00,$0.00,0.00%,$0.93,-,-
,," "," "," "," ",Root Beer,1,$0.00," "," "," "," "," "," "
,Bbq Sauce,$1.00,$0.91,1,0," "," ",-,-$0.09,$0.00,0.00%,$0.91,-,-
,Snapple,$1.00,$0.90,1,0," "," ",-,-$0.10,$0.00,0.00%,$0.90,-,-
,Cheese Burger,$0.78,$0.73,1,0," "," ",-,-$0.05,$0.00,0.00%,$0.73,-,-
,," "," "," "," ",Ketchup,1,$0.00," "," "," "," "," "," "
,Milk Shake,$0.12,$0.11,2,0," "," ",-,-$0.01,$0.00,0.00%,$0.06,-,-
,Chocolate Brownie,$0.10,$0.09,5,0," "," ",-,-$0.01,$0.00,0.00%,$0.02,-,-
,1 personal Pizza (10 in) 1 can Soda (custom 1) - Single Size,$13.14,$0.00,1,1," "," ",-,$0.00,-$13.14,0%,-,-,-
,"Cheese Pizza (custom 1) - Extra Large 18"" -  Garlic Butter on Crust",$21.98,$0.00,1,1," "," ",-,$0.00,-$21.98,0%,-,-,-
,"Custom Extravaganza Supreme - Personal 10"" - Regular Crust",$20.59,$0.00,1,1," "," ",-,$0.00,-$20.59,0%,-,-,-
,Garlic Butter,$0.00,$0.00,1,0," "," ",-,$0.00,$0.00,0%,$0.00,$0.00,$0.00
,Jamaican Beef Pattys (custom 1) - With Cheese,$18.00,$0.00,3,3," "," ",-,$0.00,-$18.00,0%,-,-,-
Total (Uncategorized),,"$53,559.30","$51,979.72",5041,21,-,2226,"$1,846.20","-$1,406.48",-$173.10,78.41%,$10.35,$0.00,$32.27

Create Your Own Pizza
,Large Cheese 16in Pizza,"$2,172.65","$2,105.10",112,1," "," ",-,-$46.58,-$20.97,3.18%,$18.96,$0.00,"$2,105.10"
,," "," "," "," ","Add Whole 16 "" Chicken",4,$10.36," "," "," "," "," "," "
,," "," "," "," ","Add Whole Large 16"" Extra Cheese",9,$23.31," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16"" Pepperoni",37,$92.13," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Sausage",7,$18.13," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Bacon",3,$7.77," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Ham",2,$5.18," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Ground Beef",1,$2.59," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16""  Pepperoni",12,$31.08," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Sausage",2,$5.18," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Bacon",2,$5.18," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Ham ",1,$2.59," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Anchovies",1,$2.59," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16"" Mushroom",5,$9.95," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Green Peppers",4,$7.96," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Black Olives",4,$7.96," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Garlic",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Pineapple",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Basil",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Onion",5,$9.95," "," "," "," "," "," "
,," "," "," "," ","Add Whole 16 "" Banana Peppers",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16"" Mushroom",2,$3.98," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Green Peppers",2,$3.98," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Black Olives",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Spinach",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Tomatoes",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Pineapple",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 16 "" Banana Peppers",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 16 "" Pineapple",1,$1.99," "," "," "," "," "," "
,XL Cheese 18 in Pizza,$839.77,$833.18,39,0," "," ",-,-$6.59,$0.00,1.26%,$21.36,$0.00,$833.18
,," "," "," "," ","Add Whole 18"" Extra Cheese",2,$5.98," "," "," "," "," "," "
,," "," "," "," ","Add Whole 18"" Pepperoni",15,$44.85," "," "," "," "," "," "
,," "," "," "," ","Add Whole 18 "" Sausage",1,$2.99," "," "," "," "," "," "
,," "," "," "," ","Add Whole 18 "" Ham ",1,$2.99," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 18"" Pepperoni",9,$26.91," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 18 "" Ham ",1,$2.99," "," "," "," "," "," "
,," "," "," "," ","Add Whole 18 "" Onion",1,$2.49," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 18 "" Onion",1,$2.49," "," "," "," "," "," "
,," "," "," "," ",Add Left Half 18 Mushroom,2,$4.98," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 18 "" Pineapple",1,$2.49," "," "," "," "," "," "
,Medium Cheese 14 in Pizza,$841.43,$828.15,49,0," "," ",-,-$13.28,$0.00,1.25%,$16.90,$0.00,$828.15
,," "," "," "," ","Add Whole 14 "" Sausage",3,$5.97," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14"" Extra Cheese",3,$5.97," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 14 "" Green Peppers",3,$4.47," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14"" Pepperoni",21,$41.79," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14 "" Bacon",2,$3.98," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14 "" Ham ",3,$5.97," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14 "" Anchovies",2,$3.98," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 14"" Pepperoni",6,$11.94," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 14 "" Bacon",1,$1.99," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14 "" Black Olives",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14 "" Pineapple",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14 "" Onion",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Whole 14 "" Jalapeno",2,$2.98," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 14"" Mushroom",2,$2.98," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 14 "" Green Peppers",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 14 "" Black Olives",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 14 "" Onion",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 14"" Mushroom",2,$2.98," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 14 "" Black Olives",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 14 "" Tomatoes",1,$1.49," "," "," "," "," "," "
,Small Cheese 12 in Pizza,$629.70,$624.21,45,0," "," ",-,-$5.49,$0.00,0.94%,$13.87,$0.00,$624.21
,," "," "," "," ","Add Whole Small 12"" Extra Cheese",2,$2.98," "," "," "," "," "," "
,," "," "," "," ","Add Whole Small 12"" Peperoni",7,$10.43," "," "," "," "," "," "
,," "," "," "," ","Add Whole  Small 12 "" Bacon",3,$4.47," "," "," "," "," "," "
,," "," "," "," ","Add Whole Small 12 "" Ham",2,$2.98," "," "," "," "," "," "
,," "," "," "," ","Add Whole Small 12 "" Salami",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 12 "" Sausage",2,$2.98," "," "," "," "," "," "
,," "," "," "," ",Add Right Half Small Pepperoni,3,$4.47," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 12 "" Ham ",1,$1.49," "," "," "," "," "," "
,," "," "," "," ","Add Whole 12"" Mushroom",5,$4.95," "," "," "," "," "," "
,," "," "," "," ","Add Whole 12 "" Green Peppers",2,$1.98," "," "," "," "," "," "
,," "," "," "," ","Add Whole 12 "" Black Olives",1,$0.99," "," "," "," "," "," "
,," "," "," "," ","Add Whole 12 "" Onion",2,$1.98," "," "," "," "," "," "
,," "," "," "," ","Add Whole 12 "" Corn",1,$0.99," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 12"" Mushroom",2,$1.98," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 12 "" Pineapple",1,$0.99," "," "," "," "," "," "
,Mini Cheese Pizza 10 in Pizza,$150.03,$111.10,12,2," "," ",-,-$5.00,-$33.93,0.17%,$11.11,$0.00,$111.10
,," "," "," "," ",Regular,10,$0.00," "," "," "," "," "," "
,," "," "," "," ",Thin Crust,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Add Whole Mini  Mozzarella,1,$1.35," "," "," "," "," "," "
,," "," "," "," ",Add Whole Mini Ricotta,1,$1.35," "," "," "," "," "," "
,," "," "," "," ",Add Whole Mini Pepperoni,5,$6.75," "," "," "," "," "," "
,," "," "," "," ",Add Whole Mini  Sausage,2,$2.70," "," "," "," "," "," "
,," "," "," "," ",Add Whole Mini Bacon,1,$1.35," "," "," "," "," "," "
,," "," "," "," ","Add Whole 10 "" Green Peppers",3,$2.70," "," "," "," "," "," "
,," "," "," "," ","Add Whole 10 "" Onion",1,$0.90," "," "," "," "," "," "
,," "," "," "," ","Add Left Half Mini 10"" Mushroom",2,$1.80," "," "," "," "," "," "
,," "," "," "," ","Add Right Half Mini 10"" Mushroom",1,$0.90," "," "," "," "," "," "
,," "," "," "," ","Add Right Half 10 "" Green Peppers",1,$0.90," "," "," "," "," "," "
,," "," "," "," ","Add Whole 10 "" Bacon",1,$1.35," "," "," "," "," "," "
,," "," "," "," ",Add Garlic Butter,1,$0.00," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 10 "" Pepperoni",1,$1.35," "," "," "," "," "," "
,," "," "," "," ","Add Left Half 10 "" Black Olives",1,$0.90," "," "," "," "," "," "
