Items Report
"Feb 7, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:32 AM"
Filters: Item Type = Revenue Items

Categories: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$68,179.91"
Net Sales,"$66,290.19"
COGS,$0.00
Gross Profit,"$14,342.73"
Gross Profit Margin,21.64%

Category Name,Name,Gross Sales,Net Sales,Sold,Refunded,Modifier Name,Modifier Sold,Modifier Amount,Discounts,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
Uncategorized
,"Pepperoni Pizza - Extra Large 18"" -  Regular Crust",$197.82,$197.82,9,0," "," ",-,$0.00,$0.00,0.30%,$21.98,-,-
,Penne Al A Vodka,$194.18,$194.18,12,0," "," ",-,$0.00,$0.00,0.29%,$16.18,-,-
,," "," "," "," ",Chicken,11,$27.50," "," "," "," "," "," "
,," "," "," "," ",Fettucini,2,$0.00," "," "," "," "," "," "
,," "," "," "," ",Penne,10,$0.00," "," "," "," "," "," "
,"Cheese Pizza - Large 16"" -  Regular Crust",$186.78,$186.78,11,0," "," ",-,$0.00,$0.00,0.28%,$16.98,-,-
,"Extravaganza Supreme - Large 16"" - Regular Crust",$183.92,$183.92,8,0," "," ",-,$0.00,$0.00,0.28%,$22.99,-,-
,Wings (custom 1) - 10 Pieces,$179.88,$179.88,12,0," "," ",-,$0.00,$0.00,0.27%,$14.99,-,-
,Baked Ziti - Single Size,$181.86,$177.96,14,0," "," ",-,-$3.90,$0.00,0.27%,$12.71,-,-
,French Fries - Single Size,$179.70,$175.37,30,0," "," ",-,-$4.33,$0.00,0.26%,$5.85,-,-
,Sicilian Deep Dish,$201.93,$172.33,8,0," "," ",-,-$29.60,$0.00,0.26%,$21.54,-,-
,," "," "," "," ",Extra Cheese,3,$7.77," "," "," "," "," "," "
,," "," "," "," ",Mozzarella Cheese,2,$5.18," "," "," "," "," "," "
,," "," "," "," ",Provolone,1,$2.59," "," "," "," "," "," "
,," "," "," "," ",Pepperoni,4,$10.36," "," "," "," "," "," "
,," "," "," "," ",Sausage,1,$2.59," "," "," "," "," "," "
,," "," "," "," ",Bacon,1,$2.59," "," "," "," "," "," "
,," "," "," "," ",Pizza Sauce,8,$0.00," "," "," "," "," "," "
,," "," "," "," ",Green Peppers,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Fresh Spinach,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Tomatoes,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Garlic,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Pineapple,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Basil,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Broccooli,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Onions,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Shredded Carrots,1,$1.99," "," "," "," "," "," "
,"Cheese Pizza - Extra Large 18"" -  Regular Crust",$170.82,$170.82,9,0," "," ",-,$0.00,$0.00,0.26%,$18.98,-,-
,"Custom Cheese Pizza - Extra Large 18"" - Crispy and Well Done",$170.82,$170.82,9,0," "," ",-,$0.00,$0.00,0.26%,$18.98,-,-
,Shrimp Scampi,$169.80,$169.80,10,0," "," ",-,$0.00,$0.00,0.26%,$16.98,-,-
,Extravaganza (Supreme),$166.10,$166.10,8,0," "," ",-,$0.00,$0.00,0.25%,$20.76,-,-
,," "," "," "," ",Pizza Sauce,2,$0.00," "," "," "," "," "," "
,," "," "," "," ","Extra Large 18""",2,$14.62," "," "," "," "," "," "
,," "," "," "," ","Large 16""",2,$10.50," "," "," "," "," "," "
,," "," "," "," ","Medium 14""",2,$6.18," "," "," "," "," "," "
,," "," "," "," ","Small 12""",2,$0.00," "," "," "," "," "," "
,Spageti + Meatballs or Sausage,$187.33,$166.05,17,0," "," ",-,-$21.28,$0.00,0.25%,$9.77,-,-
,," "," "," "," ",Meat Sauce,7,$17.50," "," "," "," "," "," "
,," "," "," "," ",Meatballs,14,$0.00," "," "," "," "," "," "
,," "," "," "," ",Sausage,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Fettucini,3,$0.00," "," "," "," "," "," "
,," "," "," "," ",Spaghetti,13,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ziti,1,$0.00," "," "," "," "," "," "
,Garlic Knots,$165.92,$165.92,23,0," "," ",-,$0.00,$0.00,0.25%,$7.21,-,-
,," "," "," "," ",Plain,19,$0.00," "," "," "," "," "," "
,," "," "," "," ",With Cheese,5,$5.15," "," "," "," "," "," "
,Custom Fettuccini Alfredo - Single Size,$164.90,$160.77,10,0," "," ",-,-$4.13,$0.00,0.24%,$16.08,-,-
,Custom 2 slice 1 topping each 1 can of soda  - Single Size,$159.80,$159.00,20,0," "," ",-,-$0.80,$0.00,0.24%,$7.95,-,-
,Fettuccini Alfredo,$156.54,$156.54,10,0," "," ",-,$0.00,$0.00,0.24%,$15.65,-,-
,," "," "," "," ",Broccoli,1,$1.99," "," "," "," "," "," "
,," "," "," "," ",Chicken,4,$10.00," "," "," "," "," "," "
,," "," "," "," ",Chicken and Broccoli,4,$11.96," "," "," "," "," "," "
,," "," "," "," ",Shrimp,1,$3.99," "," "," "," "," "," "
,," "," "," "," ",Fettucini,9,$0.00," "," "," "," "," "," "
,," "," "," "," ",Ziti,1,$0.00," "," "," "," "," "," "
,Chicken Parmigiana Sub - Single Size,$155.87,$155.87,13,0," "," ",-,$0.00,$0.00,0.24%,$11.99,-,-
,Tour of Italy,$155.32,$155.32,9,0," "," ",-,$0.00,$0.00,0.23%,$17.26,-,-
,," "," "," "," ",Meat Sauce,1,$2.50," "," "," "," "," "," "
,"Custom Cheese Pizza - Large 16"" - Regular Crust",$155.19,$155.19,7,0," "," ",-,$0.00,$0.00,0.23%,$22.17,-,-
,"Pepperoni Pizza - Extra Large 18"" - Regular Crust",$153.86,$153.86,7,0," "," ",-,$0.00,$0.00,0.23%,$21.98,-,-
,Cheese Pizza,$149.46,$149.46,9,0," "," ",-,$0.00,$0.00,0.23%,$16.61,-,-
,," "," "," "," ",Garlic Butter on Crust,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Regular,7,$0.00," "," "," "," "," "," "
,," "," "," "," ",Thin Crust,1,$0.00," "," "," "," "," "," "
,," "," "," "," ",Pizza Sauce,4,$0.00," "," "," "," "," "," "
