Items Report
"May 9, 2025 12:00 AM - Aug 8, 2025 11:59 PM"
"Requested on: Aug 8, 2025 9:29 AM"
Filters: Item Type = Revenue Items

Items: All
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."

Gross Sales,"$428,973.00"
Net Sales,"$426,703.17"
COGS,"$14,420.34"
Gross Profit,"$403,932.21"
Gross Profit Margin,94.66%

Name,Gross Sales,Net Sales,Sold,Refunded,Discounts,Repayments,Refunds,% Net Sales,Avg Item Size,COGS,Gross Profit
KIM CRAWFORD SAUVIGNON BLANC 750ML,$539.70,$539.70,30,0,$0.00,$0.00,$0.00,0.13%,$17.99,$0.00,$539.70
Dole Pineapple Juice 46oz,$529.47,$529.47,53,0,$0.00,$0.00,$0.00,0.12%,$9.99,$0.00,$529.47
MALIBU SPLASH SUNSHINE VARIETY 8 PACK CANS,$528.77,$528.77,23,0,$0.00,$0.00,$0.00,0.12%,$22.99,$0.00,$528.77
WOODFORD RESERVE BOURBON WHISKEY  1.75L WOODFORD RESERVE WHIS-BLEND 1.75L,$524.93,$524.93,7,0,$0.00,$0.00,$0.00,0.12%,$74.99,$0.00,$524.93
PAPAS PILAR 7 BLONDE RUM 750ML,$524.85,$524.85,15,0,$0.00,$0.00,$0.00,0.12%,$34.99,$0.00,$524.85
PANCHO VILLA ROJO TEQUILA 750ml PANCHO VILLA ROJO TEQUILA 0,$522.69,$522.69,131,0,$0.00,$0.00,$0.00,0.12%,$3.99,$0.00,$522.69
RON ZACAPA CENTARIO XO 750ML,$519.96,$519.96,4,0,$0.00,$0.00,$0.00,0.12%,$129.99,$0.00,$519.96
Crown Royal Canadian Whisky 750mL,$519.87,$519.87,13,0,$0.00,$0.00,$0.00,0.12%,$39.99,$0.00,$519.87
Patrón Silver 350ml Box,$519.87,$519.87,13,0,$0.00,$0.00,$0.00,0.12%,$39.99,$0.00,$519.87
Ribeye Steak 22oz,$531.00,$511.00,9,0,-$20.00,$0.00,$0.00,0.12%,$56.78,$0.00,$511.00
Nicolas Feuillatte Champagne 750 mL,$509.83,$509.83,17,0,$0.00,$0.00,$0.00,0.12%,$29.99,$0.00,$509.83
OLE SMOKY MOONSHINE KEY LIME 750ML,$509.83,$509.83,17,0,$0.00,$0.00,$0.00,0.12%,$29.99,$280.50,$229.33
